<Taxa>	PROTEIN	ARGININE	CYSTEINE	ISOLEUCINE	LEUCINE	LYSINE	METHIONINE	THREONINE	TRYPTOPHAN	VALINE	OIL	OLEIC	LINOLEIC	LINOLENIC	PALMITIC	STEARIC	STACHYOSE	SUCROSE
PI594820C	50.2	7.6	1.4	4.7	7.3	6.1	1.4	3.4	1.2	4.9	17.3	19.6	55.8	9.1	10.9	3.9	3.3	2.3
PI594821A	44.9	7.62	1.46	4.54	7.86	6.55	1.4	3.62	1.22	5.08	20	25.9	54.7	4.4	8.6	4.9	3.5	6.4
PI594822	50.7	7.38	1.37	4.2	7.49	6.06	1.3	3.22	1.1	4.95	15.8	24.3	54.3	7.8	6.7	4.2	3.3	3.3
PI594823	48.4	7.8	1.44	4.4	7.89	6.38	1.4	3.41	1.23	4.96	17.6	26.1	53.2	7.2	11.7	4.9	3.8	5.2
PI594824	49.6	7.54	1.48	4.45	7.58	6.23	1.3	3.35	1.31	5.06	20.1	24.9	58.5	7.5	7.6	4.2	2.2	1.1
PI594829	49	8.39	1.35	5.05	7.75	6.47	1.5	3.24	1.26	4.86	19.5	25.8	55.3	7.5	8.4	4.5	5	5.2
PI594831	45.8	7.98	1.41	5.32	7.79	6.47	1.7	3.29	1.25	4.79	19.6	25.1	54.7	5.6	8.4	4.2	1.9	2.2
PI594832A	44.1	7.79	1.29	5.43	7.99	6.77	1.6	3.56	1.37	4.64	20.8	26.3	55.7	4.8	8.5	4.5	3.7	6.8
PI594834A	49.4	7.5	1.5	4.2	7.6	6.1	1.4	3.3	1.3	4.9	19.6	25.5	53.2	8.9	11.4	4.1	3	2.7
PI594837A	48.4	8.46	1.51	4.88	8.06	6.62	1.5	3.46	1.3	5.08	15.3	24.1	55.1	8	8.8	4.4	5.4	6.6
PI594837B	51.6	7.51	1.43	4.29	7.4	6.3	1.3	3.27	1.34	4.85	16.2	22.4	54.3	6.9	8.3	4.4	2	1.1
PI594837C	49.8	7.55	1.45	4.21	7.39	6.22	1.3	3.49	1.41	5.03	16	23.3	58.3	5.7	8.9	4.5	5.3	5.2
PI594839B	47.2	7.7	1.6	4.5	7.6	6.4	1.3	3.5	1.2	5.1	19	23.7	53.3	7.5	9.2	4.5	1.9	NA
PI594840	47.7	7.67	1.55	4.35	7.9	6.47	1.4	3.52	1.39	5.23	21.4	25	54.7	6.4	7.7	4.4	4.1	5
PI594841A	46.5	7.6	1.6	4.4	7.6	6.3	1.4	3.5	1.3	5.2	19.7	26.7	52.1	8.6	11.3	4.1	3.2	2.8
PI594844	45.2	7.99	1.35	5.37	7.96	6.41	1.5	3.59	1.33	4.68	16.6	25.3	58.1	6.1	8.8	4.5	4.3	5.5
PI594846	45.2	7.6	1.2	3.9	8	5.3	1.1	3.2	1.3	4.7	17.9	26.2	53	7.9	11.8	4	2.7	2.9
PI594848	46.7	7.79	1.22	4.81	8.34	5.78	1.2	3.4	1.37	4.59	13.4	21	54.1	8.1	10.7	3.7	5	7.1
PI594849	46.2	7.17	1.24	4.42	8.26	5.42	1.1	3.23	1.36	4.63	12.9	20.5	53.8	7.9	12.7	3.7	4.3	6.6
PI594852A	43.7	8.18	1.28	5.57	8.27	6.91	1.5	3.85	1.24	4.75	19.6	23.2	58.1	5.5	8.4	3.6	3.4	6.2
PI594852B	47	8.24	1.29	5.39	7.93	6.47	1.4	3.89	1.29	4.74	17.6	24.5	58.2	6.9	8.3	4	5	6.1
PI594852C	48.5	8.24	1.34	5.26	7.89	6.45	1.4	3.83	1.3	5.05	18.3	24.6	57.4	6.3	8.5	3.5	2.7	3.2
PI594855	49.3	7.8	1.4	4.9	7.6	6.1	1.3	3.3	1.2	5	18.2	23.6	54.2	8.7	11.3	3.6	3.2	4.5
PI594859	42.7	8.27	1.35	5.78	7.99	6.77	1.5	3.88	1.38	5.07	20.8	27.3	57.9	5.4	7.5	3.8	2.2	2.8
PI594861	46	8.16	1.27	5.22	7.89	6.68	1.5	3.46	1.22	4.61	19.1	27.2	56.9	5.2	10.2	4.7	2.1	2.5
PI594863A	46.1	8.23	1.29	5.43	7.96	6.57	1.5	3.89	1.27	4.67	19.1	24.6	55.5	7.1	8.6	4.3	4.2	5.9
PI594863B	47.5	8.36	1.23	5.36	8.06	6.71	1.5	3.85	1.3	4.74	19.5	26	55.2	6.8	11.3	4	4.2	5.4
PI594865	45	7.5	1.4	4.7	7.6	6.5	1.3	3.4	1.1	4.7	17.4	24.8	52.8	8.7	11.7	4	3.7	6
PI594869	50	7.7	1.27	4.78	7.3	6.03	1.4	3.39	1.06	4.55	15.1	25.2	58.1	7	8.4	3.9	2.4	2.3
PI594876	50.1	8.28	1.25	5.15	7.83	6.49	1.4	3.76	1.26	4.72	17.4	25.8	55.6	7.2	8.8	3.6	4.8	6.4
PI594878	44.3	8.06	1.31	5.13	8.23	6.72	1.4	3.51	1.2	4.63	19	27.1	54	5.6	10.3	4.5	2.6	3.6
PI594879	48.4	7.5	1.3	4.6	7.3	5.9	1.2	3.2	1.1	4.4	17	25.2	52.6	7.8	11.8	4.2	3	2.8
PI594882A	43.9	8.3	1.4	5.3	8.1	6.4	1.5	3.5	1.1	4.9	17	22.9	55.1	7.1	12	4.8	3.1	2.5
PI594883	45.8	8.1	1.4	5.3	7.8	6.4	1.4	3.7	1.2	5.1	18.6	24	54.9	5.9	6.7	3.9	1.8	4.8
PI594885A	46.9	8.3	1.4	5.2	8	6.2	1.5	3.4	1.1	4.9	17.3	25.2	58.2	6.6	9.4	3.7	2.9	2
