<Taxa>	PROTEIN	ARGININE	CYSTEINE	ISOLEUCINE	LEUCINE	LYSINE	METHIONINE	THREONINE	TRYPTOPHAN	VALINE	OIL	OLEIC	LINOLEIC	LINOLENIC	PALMITIC	STEARIC	STACHYOSE	SUCROSE
PI430619	44	7.5	1.5	4.5	8	6.6	1.4	3.6	1.3	4.9	18.3	23.7	50.1	11	11.2	4.2	2.7	5.5
PI430622	43.1	7.6	1.5	4.6	8	6.6	1.5	3.7	1.3	5	20	27.3	49.8	9.2	10.7	4.3	3.3	5.4
PI430624	46.9	7.42	1.43	4.41	7.47	6.18	1.4	3.49	1.32	5.06	18.3	23.8	54.3	6.2	8.2	4.2	2.4	2.4
PI430625	44.5	7.6	1.4	4.6	7.6	6.6	1.4	3.6	1.2	5	19.2	24.1	54.1	7.2	9.8	4.4	2.3	2.6
PI430736	38.9	7.2	1.6	5	8	6.5	1.5	3.9	1.2	5.2	21.7	21.6	53.7	10.5	11.2	3.7	3.4	5.2
PI430737	44.1	7.3	1.5	4.5	7.7	6.3	1.4	3.5	1.2	4.9	19.8	23.4	53	8.9	12.2	4.8	2.6	3.8
PI434973A	46.1	7.5	1.4	4.4	7.4	6.4	1.3	3.5	1.1	5.1	18.8	24.5	51.7	8	11.3	4.4	1.9	1.8
PI434973B	44.4	7.5	1.4	4.5	7.5	6.4	1.3	3.6	1.1	5	20	26.8	49.5	6.6	12.6	4.9	2.2	2.1
PI434975	50.3	7.5	1.4	4.5	7.6	6.2	1.3	3.5	1.3	5	17.7	24.8	53.1	9.4	11.2	4.7	2.6	1.7
PI434976	47.6	7.6	1.5	4.4	7.4	6.3	1.3	3.6	1.2	5	18.1	23.4	50	9	12.4	4.7	2.3	2.4
PI434979	45.4	7.5	1.5	4.4	7.6	6.4	1.3	3.6	1.1	5.2	18.9	20.5	54.1	10.4	10.5	3.8	4.5	5.7
PI434980B	44.3	7.57	1.55	4.48	7.72	6.49	1.4	3.7	1.26	5.05	20	21.7	54.8	6.6	8.7	4.5	3.6	4.6
PI436567	45.5	7.6	1.4	4.6	7.9	6.5	1.4	3.4	1.2	5	18.5	24.6	51.3	8	12.4	4.8	2.7	4.1
PI436611	44.1	7.6	1.5	4.6	7.9	6.5	1.5	3.6	1.3	5.2	19.8	25.8	52	5.7	10.2	5.1	2.7	3.2
PI436612	43	7.5	1.6	4.8	8.1	6.5	1.5	3.7	1.4	5.1	20.4	25	54.1	10.4	11.4	4	3	3.7
PI436617	40.9	7.4	1.6	4.7	7.9	6.4	1.4	3.8	1.4	5.1	22.1	23	52.4	7.7	11.8	4.7	1.9	2.6
PI436620	42.8	7.4	1.5	4.7	7.9	6.5	1.4	3.8	1.3	5	21	23.1	54.2	6.9	10.1	4.9	4	3.6
PI437071	40.7	7.7	1.6	4.8	7.9	6.8	1.5	3.8	1.3	5.1	21	23.4	52.5	6.8	10.1	4.4	2.8	4.1
PI437079A	45.6	7.5	1.3	4.6	7.6	6.4	1.3	3.6	1.2	5.1	20.2	27	52.7	5.2	11.7	4.2	1.8	1.1
PI437082	43.5	7.6	1.6	4.8	8.1	6.4	1.5	3.7	1.4	5.2	20.5	25.1	53.2	10	11.6	4	2.9	3.6
PI437085	48.3	7.5	1.5	4.5	7.7	6.5	1.4	3.4	1.3	4.8	17.2	23	53.1	8.4	10.8	4.6	1.7	2.1
PI437088A	49.2	7.7	1.4	4.5	7.9	6.4	1.4	3.5	1.3	4.9	18.5	24.6	53.3	9.7	12.2	4	2.7	3.4
PI437097	43.1	7.4	1.6	4.7	7.5	6.5	1.4	3.6	1.4	4.9	23.6	27.5	51.5	4.9	10.8	4	2.1	3.1
PI437098	43.3	7.6	1.5	4.6	7.9	6.7	1.5	3.6	1.2	4.9	20.1	24.7	52.2	6.8	10.3	4.5	2.5	3.9
PI437100	43.4	7.58	1.48	4.61	7.91	6.43	1.5	3.71	1.21	5.09	19.9	23.4	54	7.3	10.6	5.1	3.4	5.5
PI437113	43.3	7.7	1.6	4.7	8.1	6.6	1.5	3.7	1.3	5.1	19.9	24.8	52.1	8.4	10.4	4.6	2.7	4.1
PI437123	45.5	7.5	1.5	4.4	7.7	6.5	1.4	3.4	1.2	5	19.5	27.5	53	5.4	10.5	4.5	2.4	3.4
PI437126C	48.9	7.7	1.6	4.5	7.7	6.3	1.5	3.7	1.4	5.1	20.4	27.1	50.9	5.6	9.9	4.1	2.3	0.9
PI437129B	43.4	7.8	1.3	5.1	7.8	6.8	1.5	3.6	1.1	4.6	19.1	27.5	50.5	6.9	12.1	4.7	3.2	5.3
PI437135A	45.5	7.5	1.5	4.5	7.8	6.4	1.4	3.6	1.3	5	20.2	22.4	52.4	9.9	11.4	4.3	2.8	1.8
PI437136	43.7	8.12	1.33	5.31	8.17	6.94	1.5	3.85	1.28	5.07	20	25.5	55	7	11.3	4.8	2.8	5.2
PI437141	42.5	8.3	1.2	4.2	8	5.8	1.5	3.3	1.4	4.8	19	25.7	57.3	4.8	11.3	3.7	6.1	6.8
PI437148	44.9	7.6	1.6	4.6	7.9	6.5	1.5	3.7	1.4	5.1	21.1	24.6	51.4	10.4	11	4.1	3	4.6
PI437162	41.3	7.4	1.5	4.8	8.3	6.6	1.4	3.8	1.4	5.1	21.1	24.7	53.4	10.2	10.9	4.2	3.3	5.4
PI437166A	45.3	7.4	1.5	4.5	7.9	6.5	1.5	3.6	1.4	5	21.6	22.6	55.5	9.7	11.3	4.3	3	2.6
PI437166B	43.4	7.3	1.5	4.6	7.7	6.3	1.4	3.7	1.3	4.9	21.5	23.2	54.4	8.6	9.8	4	2.3	2.3
PI437169A	42.2	7.6	1.6	4.7	7.7	6.6	1.4	3.7	1.3	5.1	21.1	23.6	54.1	7.2	10.9	4.7	2.5	2.3
PI437188	43.5	7.7	1.2	5.3	7.7	6.7	1.5	3.7	1.1	4.6	19.4	25.8	55.9	5.3	12	3.8	2.5	3.3
PI437191	45.4	7.76	1.54	4.55	7.8	6.51	1.5	3.54	1.32	5.18	19.3	23.6	53.9	7.8	10.6	4.8	3.3	4.1
PI437205B	44.9	7.5	1.5	4.4	7.6	6.4	1.3	3.6	1.3	4.9	18.9	24.5	49.5	9.5	12	4.1	2.8	3.6
PI437216	44.7	7.62	1.41	4.45	7.67	6.31	1.4	3.56	1.27	5.14	20.7	26.4	54.1	5.4	10.6	5	3.6	6.2
PI437229	44.5	7.9	1.4	5.1	8	6.7	1.3	3.7	1.4	5.1	17.7	24.2	49.2	10.1	12.3	3.9	4	5.7
PI437233	43.8	7.7	1.4	5	7.7	6.3	1.4	3.6	1.2	4.8	17.1	22.6	54.3	8.8	12.2	4.2	3.4	5.6
PI437237	42.3	7.9	1.5	4.9	7.7	6.8	1.4	3.8	1.2	5.2	20	23.6	51.9	8	11.5	4.4	2.6	3.8
PI437239	44.9	7.7	1.5	4.7	8	6.5	1.5	3.8	1.4	5.1	20.2	20.6	55.7	11.1	11.8	4	3.1	2.1
PI437246A	46.1	7.4	1.4	4.3	7.5	6.3	1.3	3.5	1.2	5	17.4	21.9	53.6	10.5	12	3.8	3	2.5
PI437247	46.8	7.7	1.6	4.6	7.8	6.5	1.5	3.4	1.4	5.1	20	28.2	50.2	8.7	11.4	4	2.4	1.6
PI437250	43	7.54	1.52	4.59	7.9	6.53	1.4	3.71	1.24	5.08	21.3	21.4	54.4	7.2	10.2	4	3.8	5.8
PI437260A	44.1	7.73	1.54	4.58	8.06	6.46	1.5	3.69	1.24	5.31	19.5	23.1	54.2	7.9	11.5	4.7	3.5	6.5
PI437261A	45.1	7.74	1.5	4.51	7.91	6.43	1.5	3.59	1.28	5.26	19.7	22.8	54.3	7	10.9	4.5	4.1	5.8
PI437261C	43.7	7.6	1.5	4.7	7.7	6.6	1.4	3.7	1.2	5.1	18.2	19.3	54.5	10.2	10.8	4.1	2.1	2.5
PI437265B	45	7.5	1.5	4.4	7.4	6.4	1.3	3.5	1.1	5	19.6	23.9	51.4	7.9	11.3	4.9	2	1.6
PI437267	44.8	7.4	1.5	4.4	7.4	6.3	1.3	3.6	1.2	4.8	16.8	19.3	53.6	11.5	11.6	3.9	3.9	5.1
PI437286	46	7.4	1.4	4.3	7.5	6.3	1.3	3.5	1.2	5	17.5	21.7	53.9	10.6	11.8	3.8	3	2.4
PI437299	46	7.6	1.4	4.4	7.6	6.4	1.4	3.6	1.3	5.1	20.8	27.2	53.9	4.6	11	4.1	1.7	0.6
PI437302	43.8	7.6	1.5	4.7	8.1	6.5	1.4	3.7	1.3	5.1	20.7	25.2	51.6	9.5	11.2	3.9	3.1	3.6
PI437314	45.1	7.8	1.5	4.6	7.9	6.5	1.4	3.7	1.4	5.1	19.9	25	53.6	9.1	11	4	2.6	1.4
PI437315	41.6	7.5	1.5	4.7	8.2	6.5	1.4	3.8	1.3	5.1	20.6	27.2	51.6	8.7	11.4	4.4	3.1	5.3
PI437317	43.1	7.48	1.46	4.71	7.81	6.37	1.3	3.69	1.24	5	19.3	23.3	56.3	7.3	7.4	4.7	2.2	2.7
PI437323	41.6	9.2	1.5	6.3	8.6	5.3	2.5	3.6	1.5	5.3	21.5	25.1	51.4	9.8	11.5	4.5	3.7	4.5
PI437339A	46.2	7.81	1.47	4.51	7.88	6.44	1.4	3.54	1.28	5.1	20	23.4	55.2	5.8	9.8	4.8	4.5	4.3
PI437354	45.2	8	1.6	5.1	8	6.6	1.4	3.7	1.2	5.3	21.8	27.7	54.2	3.8	9	4	1.5	NA
PI437357	43.4	7.42	1.45	4.69	7.99	6.62	1.4	3.62	1.16	5.1	19.2	21.4	55	7.4	10	4.6	2.6	3.9
PI437359	42	7.28	1.49	4.78	7.7	6.66	1.4	3.68	1.14	4.92	20.3	21.2	55.6	7.3	10.9	4.4	2.4	2.9
PI437365	44.7	7.55	1.45	4.8	8.11	6.49	1.4	3.6	1.22	5.1	18	22.6	53.3	8.2	10.4	4.3	3.1	4
PI437367	47.9	7.4	1.61	4.59	7.52	6.16	1.3	3.42	1.12	4.99	18.8	28.5	54	6.1	6.9	4.1	2.1	2.7
PI437385B	45.6	7.6	1.5	4.6	7.5	6.3	1.4	3.5	1.3	5.1	19.2	25.9	49.8	8.6	11.7	4.4	3.3	1.8
PI437389A	46.5	7.62	1.44	4.5	7.79	6.32	1.4	3.49	1.36	5.26	19.6	23.9	54.1	7.1	9.3	4.9	3	3.4
PI437389B	45.3	7.7	1.5	4.7	7.6	6.4	1.3	3.7	1.3	5	22.3	27.2	52.3	7.3	11.3	4.2	1.7	1.8
PI437390	44.1	8.1	1.4	5.4	8	6.8	1.5	3.8	1.2	5	18.6	23.6	55.8	6	11.8	3.7	3	3.4
PI437392	45	7.37	1.37	4.52	7.8	6.47	1.4	3.47	1.05	4.6	18.9	21.6	57.7	6.5	8.7	3.9	3	3
PI437393	44.6	7.38	1.34	4.87	7.67	6.36	1.4	3.42	1.15	4.57	18.3	22.4	55	7	10.3	4.4	3.1	4.3
PI437401	44.9	7.69	1.38	4.96	7.9	6.62	1.4	3.62	1.2	5.07	18.2	22.9	56.3	5.8	8.4	4.1	2.4	2.8
PI437421	42	7.5	1.6	4.7	7.9	6.4	1.4	3.8	1.3	5.1	21.5	25.6	53.4	8.7	11	4.5	2.6	3.6
PI437423	47.1	7.4	1.4	4.6	7.7	6.4	1.4	3.4	1.3	5	19.6	24.6	53.5	9.5	11.3	3.9	2.7	1.2
PI437424	44.6	7.7	1.5	4.7	8.1	6.5	1.4	3.6	1.3	5	19.8	23.6	54	10.3	11.5	4	3.1	3.6
PI437462D	45.7	7.73	1.38	5	7.61	6.47	1.4	3.61	1.17	4.87	18.7	22.2	57.5	6.3	7.5	4.2	1.8	2.2
PI437467	47.2	7.67	1.44	4.67	7.57	6.46	1.3	3.57	1.24	5.03	17.8	20.1	54.5	8.6	7.5	4	2.2	2.4
PI437481	45.6	7.4	1.5	4.4	7.6	6.3	1.4	3.6	1.3	4.9	20.4	23.2	52.6	10.4	11.5	3.9	4.8	3.5
PI437483	43.3	7.5	1.5	4.6	8.1	6.6	1.4	3.7	1.5	5.1	21.3	25.5	52.1	9.7	11.4	4.3	3.3	4.4
PI437500A	42.1	7.8	1.6	5	8	6.8	1.5	3.9	1.5	5.3	21.5	23.8	52.1	9.8	11	4.1	3.1	1.8
PI437500C	43.2	7.74	1.51	4.91	8.02	6.53	1.5	3.81	1.3	5.3	18.4	21.1	53.9	8.7	10.2	3.9	2.9	3.1
PI437501A	45.5	7.6	1.5	4.6	7.7	6.4	1.4	3.7	1.4	4.9	20.4	26.8	52.5	10.7	10.9	4.2	2.6	3.6
PI437501B	44.4	7.6	1.6	5	8.3	6.6	1.5	3.8	1.3	5.1	21.1	25	52.9	8	10.3	4.1	2.1	2.1
PI437512	45.3	7.5	1.5	4.6	7.9	6.4	1.4	3.7	1.4	5	20	21.5	54	10.9	11.1	4.4	3.4	2.9
PI437514A	42.5	7.7	1.6	4.8	7.9	6.5	1.4	3.7	1.3	5.2	21.6	26.5	51.7	5.3	10.4	4.5	2.8	2.3
PI437518	43.3	7.4	1.6	4.6	7.7	6.6	1.4	3.7	1.4	5.1	21.2	22.6	51.4	10.7	11.2	4.2	3	4.1
PI437532	42.2	7.7	1.6	4.8	7.9	6.7	1.4	3.8	1.4	4.9	22.2	23.9	53.4	7.9	9.2	3.6	1.2	1.3
PI437539	43.4	7.7	1.5	4.9	7.6	6.7	1.4	3.7	1.3	5.1	20.3	23.6	51.5	7.8	11.5	4.4	2.8	2.5
PI437550C	44.1	7.6	1.5	4.9	8.2	6.7	1.4	3.7	1.4	5	19.7	24.8	55.1	10.1	10.8	3.5	3.6	4.6
PI437551	45.4	7.5	1.5	4.4	7.7	6.3	1.4	3.7	1.4	5	20.2	23.6	51.9	10.7	11.3	4.1	3.2	4
PI437552	44.2	7.3	1.5	4.4	7.5	6.2	1.4	3.6	1.2	4.9	20.3	23.7	51.4	9.4	11.3	4	2.7	3.1
PI437557	44.9	7.4	1.5	4.4	7.7	6.4	1.4	3.6	1.3	5	20.5	23	52.2	10.9	11.2	3.7	3.2	3.9
PI437560	45.3	7.5	1.6	4.5	7.8	6.4	1.4	3.6	1.4	5.1	20	21.5	52.6	10.7	11.2	4.3	2.8	2.9
PI437576	44.6	7.5	1.4	4.4	7.9	6.4	1.4	3.6	1.3	4.9	18	23.8	52.2	10.1	11.6	3.9	2.8	4.6
PI437580	44.5	7.3	1.4	4.4	7.6	6.5	1.4	3.4	1.1	4.9	19.1	24.2	54.1	7	10	4	2.6	4
PI437587	45.9	7.5	1.5	4.4	7.8	6.3	1.4	3.6	1.3	4.9	19.6	21.6	51.6	11.3	11.3	4	3.6	4.4
PI437597B	45.1	7.5	1.5	4.5	7.7	6.3	1.4	3.7	1.4	4.9	20.1	23.2	51	10.1	11.5	4.4	2.9	3.5
PI437599	44.4	7.6	1.7	4.6	7.8	6.5	1.5	3.5	1.2	5	20.8	24.8	50.5	9.5	11.7	4.5	2.9	3.4
PI437603	41.4	7.3	1.5	4.7	7.7	6.6	1.4	3.8	1.4	5	22.7	24.7	52.1	6.1	11.1	4.7	2.4	3.6
PI437605A	47.1	7.7	1.44	4.65	7.79	6.35	1.4	3.51	1.22	5.1	17.4	24	53.8	7.6	10.4	4.6	2.3	3.1
PI437605C	44.4	7.49	1.46	4.63	7.81	6.27	1.3	3.64	1.23	5.06	19.5	24.7	55	6.2	8.7	4.3	2.1	2.6
PI437610A	44.2	7.7	1.6	4.8	7.9	6.5	1.4	3.7	1.3	4.9	20.7	22.7	53	8.8	11.1	4.6	2.6	2.3
PI437611B	42.9	7.5	1.6	4.6	7.6	6.4	1.4	3.7	1.3	5	20.3	21.9	54.5	11	10.8	3.8	4.7	4.4
PI437612	43	7.4	1.6	4.7	7.9	6.4	1.4	3.7	1.4	5.1	22	27.3	49.2	8.2	11.4	4.6	2.8	3.1
PI437615A	46.2	7.4	1.5	4.4	7.6	6.4	1.4	3.5	1.3	5.1	20.7	26.1	51.9	8.9	11.1	3.9	2.9	1.7
PI437615B	48.7	7.5	1.5	4.5	7.4	6.3	1.4	3.6	1.3	5	19.4	23.4	52	9.2	11.1	4.2	2.4	1
PI437615C	44.3	7.3	1.5	4.3	7.7	6.2	1.3	3.5	1.2	4.8	20.6	25.6	54.2	6	11.2	4.6	2.1	2.2
PI437620	47.6	7.5	1.5	4.3	7.6	6.2	1.4	3.5	1.3	5	20.6	28.4	48.6	8.6	11.3	4.2	2.9	0.8
PI437625	44.5	7.8	1.5	4.6	7.6	6.5	1.4	3.6	1.2	5.1	19.1	23.4	54	7.6	9.7	4.8	2.1	3.2
PI437628	40.5	7.7	1.6	4.9	8	6.7	1.5	3.9	1.4	5.3	21.8	22.9	52.7	7.9	11.1	4.3	3	2.5
PI437629	46.5	7.7	1.5	4.6	7.8	6.4	1.4	3.5	1.3	5.1	20.4	26.3	50.8	9.1	11.8	4.1	2.7	2
PI437632A	47.8	7.4	1.4	4.3	7.3	6.2	1.4	3.5	1.3	4.9	18.8	26	50.4	9	11.7	4.1	2.7	3
PI437632B	46.1	7.6	1.5	4.6	7.6	6.5	1.4	3.7	1.4	5.1	19.5	24.9	52.9	9	11.5	4.3	2.9	1.9
PI437633A	46.2	7.5	1.5	4.5	7.5	6.5	1.4	3.6	1.3	5.1	18.4	23.3	50.5	9.9	11.9	4.5	3.1	3.7
PI437633B	46.2	7.3	1.5	4.3	7.3	6.3	1.3	3.5	1.3	4.9	20	25.9	52.4	8.2	11.3	3.8	3	2.6
PI437633D	45.8	8	1.6	5	7.9	6.7	1.4	3.7	1.4	5.1	18.9	22.7	52.2	8.7	8.5	4.2	2	1.5
PI437635A	45.7	7.5	1.5	4.7	7.5	6.4	1.3	3.6	1.3	5.1	20.2	23	53.2	7.7	11.5	4.6	2.3	1.6
PI437640A	45.8	7.3	1.4	4.3	7.5	6.2	1.3	3.4	1.2	5	19.6	26.4	50.5	8.6	11.3	4	2.8	3.3
PI437641B	47.7	7.64	1.44	4.48	8.04	6.38	1.4	3.44	1.24	5.16	17	23.2	54.3	8.4	10.3	4.1	3.8	5.7
PI437645B	41.7	7.9	1.6	5	8.2	6.9	1.5	3.8	1.3	5.1	20.7	24.2	52.6	7.3	10.1	4.4	2.8	3.8
PI437648A	43.7	7.3	1.5	4.6	7.8	6.5	1.4	3.7	1.4	5	21	21.5	54.2	10.4	11.2	3.9	2.8	2.3
PI437650B	44.9	7.9	1.4	5.2	8.3	6.7	1.4	3.7	1.4	5.2	20.2	24.9	55.1	9.8	10.7	3.8	3.3	3.6
PI437655	45	7.4	1.5	4.4	7.5	6.3	1.4	3.6	1.3	4.9	20.3	22.5	53	10.2	11.7	3.9	3.4	3.4
PI437660	43.4	7.4	1.6	4.6	7.7	6.4	1.3	3.7	1.4	5.1	21.4	24.9	51.6	10.2	11.5	4.2	3	3.6
PI437665	42.8	7.8	1.3	5.6	8.7	6.3	1.1	3.6	1.5	5.2	18.5	22.9	54.1	8.7	11.8	3.6	4	6.1
PI437666	43.8	7.8	1.5	4.9	8.3	6.7	1.5	3.6	1.2	5.1	19.6	22.8	52.9	8.6	10.5	4.7	2.9	3.4
PI437672	43.4	7.79	1.46	4.73	7.76	6.58	1.4	3.85	1.31	5.26	19.5	25.4	53.5	6.3	10.1	4.2	4.3	6.5
PI437674	43.5	7.6	1.5	5.5	8.2	6.7	1.5	3.6	1.4	4.8	21	25.3	51	7.5	10.2	4.8	3	4
PI437676A	41.8	7.64	1.51	4.8	7.98	6.6	1.5	3.81	1.28	5.37	21.8	23.6	54.2	6.6	9.8	4.2	3.9	5.2
PI437676B	46.5	7.4	1.5	4.3	7.3	6.2	1.4	3.5	1.3	5	20.5	27.8	51.3	8.6	11.1	4.2	2.8	1.9
PI437680B	46.6	7.6	1.6	4.5	8	6.4	1.5	3.6	1.4	4.9	21.4	24.4	50	10.1	11.7	4.3	2.6	2.6
PI437681	45.5	7.6	1.6	4.8	8.1	6.6	1.5	3.6	1.3	5	18.2	20.4	55.3	9.9	8.2	3.9	2.4	3.3
PI437683	41.8	7.7	1.3	5.6	8.1	7	1.6	3.6	1.3	5.1	18.9	24.5	52.4	7.3	9	4.2	2.9	4.7
PI437684	45	7.64	1.51	4.54	8.06	6.45	1.5	3.62	1.32	5.22	20.8	25.5	53	6.5	10.6	4.5	3.8	5.9
PI437693	42.7	7.5	1.5	4.7	8.1	6.5	1.5	3.7	1.4	5.1	21.5	26.9	53.3	9	11	3.9	3	3.2
PI437696	44.3	7.2	1.4	4.4	7.4	6.4	1.3	3.5	1.1	4.7	19.6	23.1	52.4	8.4	11.3	3.6	4.3	5.7
PI437707	41.5	7.4	1.6	4.9	8.2	6.6	1.4	3.8	1.4	5.1	21.4	27.4	51	8.7	11.1	4.3	3	4.9
PI437711B	47.2	7.9	1.33	4.91	7.8	6.66	1.5	3.57	1.17	4.5	16.3	22.2	57.9	6.9	8.5	4.4	5.3	6.8
PI437713	43.2	7.4	1.8	4.6	7.5	6.2	1.4	3.7	1.3	4.8	24	28.7	51	4.5	9.4	4	2	3.3
PI437716A	47.6	7.5	1.4	4.2	7.3	6.2	1.3	3.4	1.2	4.8	17.9	23.6	53.9	7.4	9.2	4.5	2.1	0.9
PI437716B	48.9	7.5	1.4	4.2	7.5	6.2	1.3	3.3	1.2	4.8	17.5	25.2	50.4	10.4	11.7	4.4	2.7	3.4
PI437729	43.1	7.6	1.5	4.8	8	6.6	1.4	3.7	1.4	5.3	20.9	29.9	49.7	8.4	11.2	4.3	2.6	2.2
PI437730	46	7.9	1.5	4.8	7.9	6.6	1.4	3.7	1.4	5	19.4	25.1	51.5	6.9	7.9	3.8	2.4	3.1
PI437734	45.5	7.4	1.4	4.3	7.6	6.2	1.3	3.4	1.2	5	19.5	32.8	50.4	6.1	10.5	4.1	2.6	2.7
PI437739	47.9	7.5	1.4	4.3	7.6	6.3	1.4	3.4	1.3	5	20.5	28.7	49	8.6	12.2	4.2	2.6	2.5
PI437740A	43.8	7.5	1.7	4.8	7.8	6.4	1.6	3.5	1.4	5.2	22.3	30.9	51.1	8	10.5	4.1	2.5	1.5
PI437740B	46.5	7.7	1.6	4.5	8.1	6.5	1.6	3.7	1.4	5.1	20.4	25.4	52.4	9	11.3	4.2	3.2	3.2
PI437742	44.9	7.6	1.6	4.4	7.8	6.3	1.4	3.7	1.4	4.9	21.1	24.5	50.5	10.4	11.4	4.1	2.4	2.9
PI437754	44.2	7.7	1.6	4.8	7.9	6.5	1.5	3.8	1.4	5.1	20.1	22	53.9	10.4	11.2	4	3.1	1.7
PI437755	45.1	7.8	1.5	4.9	8	6.7	1.5	3.7	1.3	5.1	18.1	22.4	53.3	9.3	10	3.9	3.2	2.9
PI437756A	43.2	7.6	1.5	5.4	8.2	6.7	1.5	3.6	1.4	5	20.8	20.8	55.1	9.8	11.2	4.1	3.2	3
PI437757	43.7	7.6	1.8	5	8	6.5	1.4	3.5	1.2	5	22.9	23.6	54.6	6.1	10.9	3.9	2.2	2.8
PI437759	46	7.7	1.5	4.7	8.2	6.4	1.4	3.6	1.4	5	19.7	24.9	53.3	10.1	12.3	4	2.7	2.7
PI437767	42.7	7.8	1.3	4.4	8.1	5.8	1.2	3.4	1.4	4.8	18.7	24.8	53.1	8.8	12.5	4.4	3.5	3.4
PI437768	46.2	7.3	1.4	4.4	7.5	6.3	1.3	3.4	1.3	5.1	18.9	22.6	52.6	10.5	11.3	4	2.6	2.8
PI437772A	44.8	7.5	1.5	4.5	7.6	6.3	1.3	3.6	1.3	5.1	19.3	23.3	50.1	11.1	11.8	3.8	2.7	2.5
PI437776	43.7	7.67	1.3	4.95	7.82	6.8	1.5	3.64	1.16	4.69	19	22.7	54.5	6.1	9.5	4.5	2.7	4.7
PI437785	42.6	7.8	1.6	5.1	8.2	6.8	1.5	3.7	1.2	5.2	19.7	22.8	55.2	6.5	10.3	4	2.7	2.7
PI437794	43.9	7.8	1.3	5.3	8.3	6	1	3.4	1.5	4.9	18.7	25.4	48	9.1	12.3	4.4	5.8	6.6
PI437802	41.9	8.4	1.5	5.8	7.5	6.9	1.5	3.7	1.3	5.3	21.2	24.3	52.8	9.6	11.3	4.1	3.1	3.8
PI437807	42.8	7.5	1.5	4.6	7.6	6.6	1.3	3.6	1.3	5.1	22	31.8	48.2	6.1	11	4.5	2.8	2.2
PI437808	42.9	7.5	1.5	4.7	7.8	6.6	1.4	3.7	1.4	5.2	21.1	25	53.2	9.1	11.1	4.1	3.1	2.4
PI437809	43.1	7.3	1.5	4.7	7.4	6.6	1.4	3.5	1.2	5.1	21.7	26.8	49.1	7.5	10.7	4.7	3.1	2.6
PI437813	46.3	8.8	1.6	5.6	7.8	5.4	2.4	3.3	1.3	5	20.5	26.5	51	8.7	11.4	4.1	3.5	4.1
PI437823	44.3	7.7	1.6	4.7	8.1	6.7	1.5	3.5	1.3	4.9	19.7	21.9	52.9	9.8	10.9	4.4	2.7	3.3
PI437828	43.6	7.7	1.4	5.2	7.9	6.6	1.4	3.6	1.2	4.9	18.3	22.9	53.3	8.6	12	3.8	2.8	5.8
PI437830	46.9	7.5	1.5	4.6	7.5	6.4	1.4	3.5	1.3	5	18.1	21.9	54.3	8.5	10.3	4.4	2.1	1.8
PI437834A	46.4	7.67	1.53	4.68	7.67	6.54	1.4	3.54	1.3	4.98	19.3	24	54.4	5.6	6.9	4	2	1.3
PI437839B	46.8	7.4	1.43	4.42	7.47	6.18	1.3	3.47	1.3	4.99	18.6	23.9	54.5	7.6	8.9	4	3.3	5.1
PI437843A	43.3	7.9	1.5	5.1	8.3	6.7	1.4	3.8	1.3	5.2	20.4	23.6	53	10.6	11.6	4.2	3	4.2
PI437851A	42.9	7.6	1.5	4.8	8.4	6.5	1.5	3.7	1.4	5	20.4	24.8	54.3	10.1	10.4	3.9	3.5	5
PI437853B	42.6	7.2	1.5	4.7	7.8	6.4	1.4	3.7	1.3	5	21.7	22.6	53.3	10	10.4	4.7	2.8	3.7
PI437858	44.3	7.7	1.5	4.7	7.8	6.5	1.4	3.6	1.3	5	20	24.7	52.2	7.2	10.8	4.7	2.6	2.7
PI437860B	45	7.64	1.56	4.56	7.61	6.24	1.3	3.63	1.26	5.15	19.8	26.2	53.2	5.7	7.6	4.4	1.6	2.2
PI437864B	45.1	7.32	1.39	4.31	7.46	6.36	1.3	3.46	1.11	4.97	19.2	26.5	55.6	5.8	7.4	4.2	1.9	1.6
PI437866	47.2	7.8	1.5	4.8	7.8	6.6	1.4	3.6	1.3	5.1	18.2	20.4	54.5	8.9	8.7	4.2	2	1.8
PI437875B	45.3	7.66	1.38	4.74	7.73	6.58	1.4	3.6	1.2	5.11	17.6	24.4	54.5	7.4	6.9	4.2	2.6	3.4
PI437876	46.4	7.67	1.49	4.77	8	6.46	1.4	3.55	1.32	5.11	19	22.8	54.2	6.6	8.4	4.2	2.6	1.8
PI437877A	43.8	7.6	1.5	4.8	7.8	6.6	1.4	3.7	1.4	5.2	20.4	28.6	48.9	8.2	11.3	4.3	3	1.8
PI437878A	47	7.5	1.4	4.5	7.7	6.4	1.4	3.4	1.2	5	20	25.5	50.7	9.2	11.5	4.3	2.8	2
PI437880	45.4	7.82	1.58	4.75	7.75	6.48	1.4	3.61	1.37	5.2	19.2	27.4	52.4	5.9	8.3	4.2	2.1	2.4
PI437882A	47.8	7.53	1.52	4.49	7.32	6.15	1.3	3.48	1.32	4.91	18.9	27.3	53.6	5.8	7.5	4.6	2.1	1.8
PI437886A	46.9	7.5	1.4	4.6	7.6	6.3	1.4	3.4	1.3	5.1	17.2	22.6	53.3	9	9.6	4.4	2.7	2.5
PI437886B	46	7.42	1.48	4.46	7.3	6.15	1.3	3.5	1.28	4.96	20.6	27.3	54.7	5.4	7.4	4.8	1.6	1.4
